id,legacy_id,name,developer_name,has_winning_calculations
303,,2nd Half Asian Handicap,2ND_HALF_ASIAN_HANDICAP,False
304,,Odd/Even 2nd Half,ODD_EVEN_2ND_HALF,False
305,,Draw No Bet 1st Half,DRAW_NO_BET_1ST_HALF,False
306,,Draw No Bet 2nd Half,DRAW_NO_BET_2ND_HALF,False
309,,3-Way Handicap 1st Half,3_WAY_HANDICAP_1ST_HALF,False
310,,3-Way Handicap 2nd Half,3_WAY_HANDICAP_2ND_HALF,False
21,976204,Away Team Goals,AWAY_TEAM_GOALS,False
314,,Will There Be Extra Time,WILL_THERE_BE_EXTRA_TIME,False
20,976198,Home Team Goals,HOME_TEAM_GOALS,False
320,,To Progress,TO_PROGRESS,False
322,,Odd/Even Corners,ODD_EVEN_CORNERS,False
323,,Odd/Even Corners 1st Half,ODD_EVEN_CORNERS_1ST_HALF,False
324,,Handicap Corners,HANDICAP_CORNERS,False
44,975930,Odd/Even,ODD_EVEN,True
40,976193,To Win Both Halves,TO_WIN_BOTH_HALVES,False
48,14234105,Double Chance - 2nd Half,DOUBLE_CHANGE_2ND_HALF,False
47,975926,Double Chance - 1st Half,DOUBLE_CHANGE_1ST_HALF,False
46,976236,Win To Nil,WIN_TO_NIL,False
45,975932,Odd/Even 1st Half,ODD_EVEN_1ST_HALF,False
70,136703823,First Half Corners,FIRST_HALF_CORNERS,False
68,136703818,Total Corners,TOTAL_CORNERS,False
80,12,Goals Over/Under,GOALS_OVER_UNDER,False
31,37,Half Time Result,HALF_TIME_RESULT,False
28,975903,1st Half Goals,1ST_HALF_GOALS,False
2,63,Double Chance,DOUBLE_CHANCE,False
325,,Handicap Corners 1st Half,HANDICAP_CORNERS_1ST_HALF,False
327,,Last Corner,LAST_CORNER,False
328,,First Corner,FIRST_CORNER,False
329,,3-Way First Corner,3_WAY_FIRST_CORNER,False
16,976230,Both Teams to Score in 2nd Half,BOTH_TEAMS_TO_SCORE_IN_2ND_HALF,False
15,976226,Both Teams to Score in 1st Half,BOTH_TEAMS_TO_SCORE_IN_1ST_HALF,False
26,975925,1st Half Asian Handicap,1ST_HALF_ASIAN_HANDICAP,False
14,976105,Both Teams To Score,BOTH_TEAMS_TO_SCORE,True
1,1,Fulltime Result,FULLTIME_RESULT,True
6,28,Asian Handicap,ASIAN_HANDICAP,False
9,28080,3-Way Handicap,3_WAY_HANDICAP,False
101,976144,Half with Most Goals,HALF_WITH_MOST_GOALS,False
53,38,2nd Half Goals,2ND_HALF_GOALS,False
301,,Corners 1X2 1st Half,CORNERS_1X2_1ST_HALF,False
10,137918013,Draw No Bet,DRAW_NO_BET,True
97,80,Second Half Result,2ND_HALF_RESULT,False
269,977179,Corners 1X2,CORNERS_1X2,False
