id,legacy_id,name,developer_name,has_winning_calculations
1,1,Fulltime Result,FULLTIME_RESULT,True
2,63,Double Chance,DOUBLE_CHANCE,False
3,,X Goal,X_GOAL,False
4,28077,Match Goals,MATCH_GOALS,False
5,136703813,Alternative Match Goals,ALTERNATIVE_MATCH_GOALS,False
6,28,Asian Handicap,ASIAN_HANDICAP,False
7,136830707,Goal Line,GOAL_LINE,False
8,28089,Final Score,FINAL_SCORE,False
9,28080,3-Way Handicap,3_WAY_HANDICAP,False
10,137918013,Draw No Bet,DRAW_NO_BET,True
11,75,Last Team To Score,LAST_TEAM_TO_SCORE,False
12,28085,Goals Odd/Even,GOALS_ODD_EVEN,False
13,976316,Result / Both Teams To Score,RESULT_BOTH_TEAMS_TO_SCORE,False
14,976105,Both Teams To Score,BOTH_TEAMS_TO_SCORE,True
15,976226,Both Teams to Score in 1st Half,BOTH_TEAMS_TO_SCORE_IN_1ST_HALF,False
16,976230,Both Teams to Score in 2nd Half,BOTH_TEAMS_TO_SCORE_IN_2ND_HALF,False
17,13343,Team Clean Sheet,TEAM_CLEAN_SHEET,False
18,976270,Home Team Exact Goals,HOME_TEAM_EXACT_GOALS,True
19,976286,Away Team Exact Goals,AWAY_TEAM_EXACT_GOALS,True
20,976198,Home Team Goals,HOME_TEAM_GOALS,False
21,976204,Away Team Goals,AWAY_TEAM_GOALS,False
22,,To Win 1st Half,TO_WIN_1ST_HALF,False
23,28076,To Win 2nd Half,TO_WIN_2ND_HALF,False
24,,Team to Score in 1st Half,TEAM_TO_SCORE_IN_1ST_HALF,False
25,,Team to Score in 2nd Half,TEAM_TO_SCORE_IN_2ND_HALF,False
26,975925,1st Half Asian Handicap,1ST_HALF_ASIAN_HANDICAP,False
27,136703842,1st Half Goal Line,1ST_HALF_GOAL_LINE,False
28,975903,1st Half Goals,1ST_HALF_GOALS,False
29,137918016,Half Time/Full Time,HALF_TIME_FULL_TIME,False
30,31386,Half Time Correct Score,HALF_TIME_CORRECT_SCORE,False
31,37,Half Time Result,HALF_TIME_RESULT,False
32,137918033,1st Half - Handicap,1ST_HALF_HANDICAP,False
33,976389,First Half Exact Goals,FIRST_HALF_EXACT_GOALS,True
34,976373,First 10 min Winner,FIRST_10_MIN_WINNER,False
35,976360,Away Team Score a Goal,AWAY_TEAM_TO_SCORE,False
36,976348,Home Team Score a Goal,HOME_TEAM_TO_SCORE,False
37,976334,Result/Total Goals,RESULT_TOTAL_GOALS,False
38,976298,Second Half Exact Goals,SECOND_HALF_EXACT_GOALS,True
39,14234155,Away Team Win Both Halves,AWAY_TEAM_WIN_BOTH_HALVES,True
40,976193,To Win Both Halves,TO_WIN_BOTH_HALVES,False
41,14234147,Home Team Win Both Halves,HOME_TEAM_WIN_BOTH_HALVES,True
42,136706055,Home Odd/Even,HOME_ODD_EVEN,False
43,136706056,Away Odd/Even,AWAY_ODD_EVEN,False
44,975930,Odd/Even,ODD_EVEN,True
45,975932,Odd/Even 1st Half,ODD_EVEN_1ST_HALF,False
46,976236,Win To Nil,WIN_TO_NIL,False
47,975926,Double Chance - 1st Half,DOUBLE_CHANGE_1ST_HALF,False
48,14234105,Double Chance - 2nd Half,DOUBLE_CHANGE_2ND_HALF,False
49,975905,HT/FT Double,HT_FT_DOUBLE,False
50,976096,Clean Sheet - Home,CLEAN_SHEET_HOME,True
51,8594683,Clean Sheet - Away,CLEAN_SHEET_AWAY,True
52,10,Home/Away,HOME_AWAY,False
53,38,2nd Half Goals,2ND_HALF_GOALS,False
54,14234040,Win to Nil - Home,WIN_TO_NIL_HOME,False
55,14234050,Win to Nil - Away,WIN_TO_NIL_AWAY,False
56,83,Handicap Result,HANDICAP_RESULT,False
57,975909,Correct Score,CORRECT_SCORE,False
58,975916,Correct Score 1st Half,CORRECT_SCORE_1ST_HALF,False
59,977329,Correct Score 2nd Half,CORRECT_SCORE_2ND_HALF,False
60,136703821,2-Way Corners,2_WAY_CORNERS,False
61,1265634210,Asian Total Corners,ASIAN_TOTAL_CORNERS,False
62,136830892,Asian Handicap Corners,ASIAN_HANDICAP_CORNERS,False
63,137918021,1st Half Asian Corners,1ST_HALF_ASIAN_CORNERS,False
64,136706545,Player to be booked,PLAYER_TO_BE_BOOKED,False
65,1265635769,1st Player Booked,1ST_PLAYER_BOOKED,False
66,136706546,Player to be Sent Off,PLAYER_TO_BE_SENT_OFF,False
67,976384,Corners,CORNER_MARKET,False
68,136703818,Total Corners,TOTAL_CORNERS,False
69,136703825,Alternative Corners,ALTERNATIVE_CORNERS,False
70,136703823,First Half Corners,FIRST_HALF_CORNERS,False
71,34,Corner Match Bet,CORNER_MATCH_BET,False
72,35,Corner Handicap,CORNER_HANDICAP,False
73,36,Time of First Corner,TIME_OF_FIRST_CORNER,False
74,39,Team Corners,TEAM_CORNERS,False
75,136703850,Corners Race,CORNERS_RACE,False
76,1265634205,1st Match Corner,1ST_MATCH_CORNER,False
77,1265634207,Last Match Corner,LAST_MATCH_CORNER,False
78,1265634208,Multicorners,MULTICORNERS,False
79,1256989871,First 10 Minutes Corners,FIRST_10_MINUTES_CORNERS,False
80,12,Goals Over/Under,GOALS_OVER_UNDER,False
81,137918022,Alternative Total Goals,ALTERNATIVE_TOTAL_GOALS,False
82,136830705,Total Goals/Both Teams to Score,TOTAL_GOALS_BOTH_TEAMS_TO_SCORE,False
83,1265635776,Number of Goals in Match,NUMBER_OF_GOALS_IN_MATCH,False
84,137918026,Early Goal,EARLY_GOAL,False
85,137918027,Late Goal,LATE_GOAL,False
86,1265634158,Team Total Goals,TEAM_TOTAL_GOALS,False
87,1256989875,First 10 Minutes Goals,FIRST_10_MINUTES_GOALS,False
88,1265634204,To Score in Half,TO_SCORE_IN_HALF,False
89,,Full Time Result – Enhanced Prices,FULL_TIME_RESULT_ENHANCHED_PRICES,False
90,1265634160,Goalscorers,GOALSCORERS,False
91,1265635859,10 Minute Result,TEN_MINUTE_RESULT,False
92,1265634162,Team Goalscorer,TEAM_GOALSCORER,False
93,976241,Exact Total Goals,EXACT_TOTAL_GOALS,False
94,137918037,Alternative Handicap Result,ALTERNATIVE_HANDICAP_RESULT,False
95,,1st Half Goals Odd/Even,1ST_HALF_GOALS_ODD_EVEN,False
96,136830669,Alternative 1st Half Handicap Result,ALTERNATIVE_1ST_HALF_HANDICAP_RESULT,False
97,80,Second Half Result,2ND_HALF_RESULT,False
98,137918023,Teams to Score,TEAMS_TO_SCORE,False
99,137918029,Time of 1st Team Goal,TIME_OF_1ST_TEAM_GOAL,False
100,1265634161,Multi Scorers,MULTI_SCORERS,False
101,976144,Half with Most Goals,HALF_WITH_MOST_GOALS,False
102,137918028,Time of First Goal Brackets,TIME_OF_FIRST_GOAL_BRACKETS,False
103,137918024,Total Goal Minutes,TOTAL_GOAL_MINUTES,False
104,1256989860,Alternative Asian Handicap,ALTERNATIVE_ASIAN_HANDICAP,False
105,1256989864,Alternative Goal Line,ALTERNATIVE_GOAL_LINE,False
106,1256989865,Alternative 1st Half Asian Handicap,ALTERNATIVE_1ST_HALF_ASIAN_HANDICAP,False
107,1256989866,Alternative 1st Half Goal Line,ALTERNATIVE_1ST_HALF_GOAL_LINE,False
120,137918017,Home Team Highest Scoring Half,HOME_TEAM_HIGHEST_SCORING_HALF,False
121,137918019,Away Team Highest Scoring Half,AWAY_TEAM_HIGHEST_SCORING_HALF,False
122,1257116775,Half Time Result / Both Teams to Score,HALF_TIME_RESULT_BOTH_TEAM_TO_SCORE,False
123,1257116774,Half Time Result / Total Goals,HALF_TIME_RESULT_TOTAL_GOALS,False
124,137918020,2nd Half Goals Odd/Even,2ND_HALF_GOALS_ODD_EVEN,False
125,1265634224,Both Teams to Score 1st Half - 2nd Half,BOTH_TEAM_TO_SCORE_1ST_HALF_2ND_HALF,False
126,136830688,Winning Margin,WINNING_MARGIN,False
127,1265635824,Specials,SPECIALS,False
128,136830811,Own Goal,OWN_GOAL,False
247,69,First Team To Score,FIRST_TEAM_TO_SCORE,False
248,136830703,Team To Score In Both Halves,TEAM_TO_SCORE_IN_BOTH_HALVES,False
249,,Total Goals - 3 way,TOTAL_GOALS_3_WAY,False
250,137918025,First Goal Method,FIRST_GOAL_METHOD,False
251,,1st Goal Scorer,FIRST_GOAL_SCORER,False
252,,Last Goal Scorer,LAST_GOAL_SCORER,False
253,,To Score 3 or More Goals,TO_SCORE_3_OR_MORE_GOALS,False
254,,3 Way Total Corners,THREE_WAY_TOTAL_CORNERS,False
255,136704329,Number of Cards,NUMBER_OF_CARDS,False
256,2306278,Team to qualify,TEAM_TO_QUALIFY,False
257,,Penalties Converted in Shootout,PENALTIES_CONVERTED_IN_SHOOTOUT,False
258,,Home Team Penalties Converted in Shootout,HOME_TEAM_PENALTIES_CONVERTED_IN_SHOOTOUT,False
259,,Away Team Penalties Converted in Shootout,AWAY_TEAM_PENALTIES_CONVERTED_IN_SHOOTOUT,False
260,,Penalties To Go To Sudden Death,PENALTIES_TO_GO_TO_SUDDEN_DEATH,False
261,,Total Penalties in Shootout,TOTAL_PENALTIES_IN_SHOOTOUT,False
262,,Last Penalty in Shootout Result,LAST_PENALTY_IN_SHOOTOUT_RESULT,False
263,,Team To Take Last Shootout Penalty,TEAM_TO_TAKE_LAST_SHOOUTOUT_PENALTY,False
264,,Most Corners,MOST_CORNERS,False
265,,Second Half Corners,SECOND_HALF_CORNERS,False
266,976265,To Win Either Half,TO_WIN_EITHER_HALF,False
267,136704525,Player Shots On Target,PLAYER_TOTAL_SHOTS_ON_TARGET,False
268,136704526,Player Shots,PLAYER_TOTAL_SHOTS,False
269,977179,Corners 1X2,CORNERS_1X2,False
270,137918032,To Score A Penalty,TO_SCORE_A_PENALTY,False
271,137918038,To Miss a Penalty,TO_MISS_A_PENALTY,False
272,30,Asian Total Cards,ASIAN_TOTAL_CARDS,False
273,29,Asian Handicap Cards,ASIAN_HANDICAP_CARDS,False
274,1265635820,Both Team to Receive a Card,BOTH_TEAMS_TO_RECEIVE_A_CARD,False
275,1265634170,Team Perfomances,TEAM_PERFORMANCES,False
276,1265635821,Both Teams to Receive More Than 2 Cards,BOTH_TEAMS_TO_RECEIVE_MORE_THAN_TWO_CARDS,False
277,1265634166,Handicap Cards,HANDICAP_CARDS,False
