Generated at (UTC): 2025-10-13T20:17:35Z
Min price: 1.80  |  Bookmaker: Bet365  |  Leagues: 16

===== SOT 1+ — Bet365 — ≥ 1.80 =====
Player                 Team                   Fixture                                    Price Market                          HomeML  AwayML
---------------------------------------------------------------------------------------------------------------------------------------------
Ephron Mason-Clark     Coventry City          Coventry City vs Blackburn Rovers         21.000 Player Shots On Target            1.57    5.50
Mikael Egill Ellertsso Genoa                  Genoa CFC vs Parma Calcio                 21.000 Player Shots On Target            2.05    3.75
Rafa Mir               Elche                  Elche CF vs Athletic Bilbao               21.000 Player Shots On Target            3.60    2.20
Santiago Gimenez       Milan                  AC Milan vs ACF Fiorentina                19.000 Player Shots On Target            1.50    6.00
Erling Haaland         Manchester City        Manchester City vs Everton FC             17.000 Player Shots On Target            1.40    7.50
Tijjani Reijnders      Manchester City        Manchester City vs Everton FC             17.000 Player Shots On Target            1.40    7.50
Giovanni Simeone       Torino                 Torino FC vs SSC Napoli                   15.000 Player Shots On Target            5.00    1.75
Jean-Philippe Mateta   Crystal Palace         Crystal Palace vs AFC Bournemouth         15.000 Player Shots On Target            2.20    3.25
Matías Soulé           Roma                   AS Roma vs Inter Milano                   15.000 Player Shots On Target            2.60    2.45
Mathias Pereira Lage   St. Pauli              FC St. Pauli vs TSG Hoffenheim            13.000 Player Shots On Target            2.45    2.80
Cyril Ngonge           Torino                 Torino FC vs SSC Napoli                   11.000 Player Shots On Target            5.00    1.75
Ismaïla Sarr           Crystal Palace         Crystal Palace vs AFC Bournemouth         11.000 Player Shots On Target            2.20    3.25
Giovanni Di Lorenzo    Napoli                 Torino FC vs SSC Napoli                    3.250 Player Shots On Target            5.00    1.75
Yukinari Sugawara      Werder Bremen          1. FC Heidenheim vs Werder Bremen          3.250 Player Shots On Target            3.00    2.30
Arthur Atta            Udinese                US Cremonese vs Udinese Calcio             2.375 Player Shots On Target            2.80    2.37

===== SHOTS 2+ — Bet365 — ≥ 1.80 =====
Player                 Team                   Fixture                                    Price Market                          HomeML  AwayML
---------------------------------------------------------------------------------------------------------------------------------------------
Fisnik Asllani         TSG Hoffenheim         FC St. Pauli vs TSG Hoffenheim            21.000 Player Shots                      2.45    2.80
Jaden Philogene        Ipswich Town           Middlesbrough FC vs Ipswich Town          21.000 Player Shots                      2.80    2.50
Jamie Leweling         VfB Stuttgart          VfL Wolfsburg vs VfB Stuttgart            21.000 Player Shots                      2.62    2.45
Joaquín Panichelli     Strasbourg             Paris Saint-Germain vs Strasbourg Alsace  21.000 Player Shots                      1.30    8.50
Mikel Oyarzabal        Real Sociedad          RC Celta de Vigo vs Real Sociedad San Se  21.000 Player Shots                      2.15    3.25
Moise Kean             Fiorentina             AC Milan vs ACF Fiorentina                21.000 Player Shots                      1.50    6.00
Nestory Irankunda      Watford                Sheffield United vs Watford FC            21.000 Player Shots                      1.95    4.10
Pere Milla             Espanyol               Real Oviedo vs Espanyol Barcelona         21.000 Player Shots                      3.00    2.37
Riccardo Orsolini      Bologna                Cagliari Calcio vs Bologna FC             21.000 Player Shots                      3.30    2.20
Ritsu Doan             Eintracht Frankfurt    SC Freiburg vs Eintracht Frankfurt        21.000 Player Shots                      2.60    2.62
Adrián Bernabé         Parma                  Genoa CFC vs Parma Calcio                 19.000 Player Shots                      2.05    3.75
Armand Laurienté       Sassuolo               US Lecce vs Sassuolo Calcio               19.000 Player Shots                      2.75    2.62
Can Uzun               Eintracht Frankfurt    SC Freiburg vs Eintracht Frankfurt        19.000 Player Shots                      2.60    2.62
Ermedin Demirovic      VfB Stuttgart          VfL Wolfsburg vs VfB Stuttgart            19.000 Player Shots                      2.62    2.45
Imrân Louza            Watford                Sheffield United vs Watford FC            19.000 Player Shots                      1.95    4.10
Andrea Pinamonti       Sassuolo               US Lecce vs Sassuolo Calcio               17.000 Player Shots                      2.75    2.62
Arthur Atta            Udinese                US Cremonese vs Udinese Calcio            17.000 Player Shots                      2.80    2.37
Josh Windass           Wrexham                Stoke City vs Wrexham AFC                 17.000 Player Shots                      1.90    4.10

===== SHOTS 1+ — Bet365 — ≥ 1.80 =====
Player                 Team                   Fixture                                    Price Market                          HomeML  AwayML
---------------------------------------------------------------------------------------------------------------------------------------------
Adam Armstrong         Southampton            Southampton FC vs Swansea City            21.000 Player Shots                      1.90    4.10
Andrej Ilic            FC Union Berlin        Union Berlin vs Borussia Monchengladbach  21.000 Player Shots                      2.20    3.10
Arijon Ibrahimovic     Heidenheim             1. FC Heidenheim vs Werder Bremen         21.000 Player Shots                      3.00    2.30
Aune Heggebø           West Bromwich Albion   West Bromwich Albion vs Preston North En  21.000 Player Shots                      1.80    4.50
Brian De Keersmaecker  Oxford United          Oxford United vs Derby County             21.000 Player Shots                      2.37    3.10
Cameron Brannagan      Oxford United          Oxford United vs Derby County             21.000 Player Shots                      2.37    3.10
Christoph Baumgartner  RB Leipzig             RB Leipzig vs Hamburger SV                21.000 Player Shots                      1.44    6.50
Danel Sinani           St. Pauli              FC St. Pauli vs TSG Hoffenheim            21.000 Player Shots                      2.45    2.80
David Raum             RB Leipzig             RB Leipzig vs Hamburger SV                21.000 Player Shots                      1.44    6.50
