===== League 8 =====
AFC Bournemouth: SOT: 5,5,6,5,2,5,6,4,3 | Shots: 13,8,11,12,11,13,20,14,10 | Fouls: 17,16,8,13,7,16,13,13,10 | Tackles: 9,18,10,23,15,18,28,12,20 | Cards: 3,4,0,2,2,4,4,2,2 | Saves: 4,4,3,6,1,1,1,1,6 | GKicks: 7,11,6,5,5,12,9,7,11 | Corners: 6,5,4,4,5,4,8,8,7
Arsenal: SOT: 3,5,5,7,3,5,1,5,3 | Shots: 10,16,21,20,12,16,11,18,9 | Fouls: 6,4,14,9,11,8,10,8,19 | Tackles: 12,9,23,13,20,13,14,12,18 | Cards: 0,0,0,1,1,1,2,0,4 | Saves: 1,0,0,2,2,1,2,1,7 | GKicks: 9,8,4,3,1,6,5,2,9 | Corners: 4,10,8,12,11,8,8,2,4
Aston Villa: SOT: 3,2,7,4,2,1,4,2,3 | Shots: 9,8,15,9,12,7,13,17,3 | Fouls: 8,7,9,10,8,15,7,9,13 | Tackles: 18,24,15,10,11,16,11,14,11 | Cards: 1,0,3,1,1,3,2,2,2 | Saves: 3,2,1,3,3,2,1,1,3 | GKicks: 7,7,4,9,8,16,3,10,14 | Corners: 5,6,6,2,5,3,10,9,3
Brentford: SOT: 8,7,1,8,3,4,4,2,3 | Shots: 17,22,6,10,8,7,7,9,10 | Fouls: 7,10,10,14,13,13,12,11,15 | Tackles: 15,11,16,14,13,17,9,28,20 | Cards: 3,1,3,2,1,3,2,1,2 | Saves: 3,1,3,5,2,4,1,2,2 | GKicks: 7,8,3,9,6,7,13,7,5 | Corners: 5,10,3,4,10,5,4,2,5
Brighton & Hove Albion: SOT: 5,5,6,3,4,2,7,4,4 | Shots: 17,13,17,12,12,6,12,13,10 | Fouls: 13,9,9,16,10,10,16,15,16 | Tackles: 18,21,19,21,25,20,17,17,19 | Cards: 2,0,4,5,1,4,2,3,3 | Saves: 5,2,3,2,2,3,2,1,1 | GKicks: 7,12,3,5,14,6,11,9,8 | Corners: 6,8,8,7,2,4,3,2,4
Burnley: SOT: 7,3,2,2,5,0,3,2,4 | Shots: 11,4,5,9,12,3,6,7,14 | Fouls: 7,10,15,7,12,9,9,9,8 | Tackles: 19,14,27,20,11,16,20,22,6 | Cards: 0,2,1,3,1,3,5,0,0 | Saves: 5,4,5,5,7,3,5,1,3 | GKicks: 10,11,8,11,5,21,18,10,13 | Corners: 3,1,4,2,4,1,1,4,5
Chelsea: SOT: 7,6,6,3,1,6,6,7,3 | Shots: 16,17,12,13,5,16,13,12,19 | Fouls: 15,16,9,9,14,9,11,10,10 | Tackles: 8,15,21,21,16,15,19,19,13 | Cards: 1,5,0,4,6,2,2,1,2 | Saves: 2,2,1,0,2,3,1,3,4 | GKicks: 4,14,12,11,6,2,7,7,7 | Corners: 9,2,7,5,5,6,6,5,11
Crystal Palace: SOT: 1,7,8,7,3,6,4,4,4 | Shots: 7,20,15,16,18,14,6,8,11 | Fouls: 11,8,16,10,5,10,14,11,12 | Tackles: 16,23,31,24,22,10,26,20,16 | Cards: 0,1,3,1,3,1,3,3,3 | Saves: 2,2,5,3,2,0,4,0,2 | GKicks: 6,4,5,16,10,8,10,11,14 | Corners: 3,6,4,2,8,5,1,1,2
Everton: SOT: 2,1,7,6,2,2,4,3,1 | Shots: 12,5,14,12,9,20,10,11,7 | Fouls: 9,14,13,7,10,17,10,7,8 | Tackles: 19,18,19,11,18,23,16,15,16 | Cards: 2,2,2,3,3,3,1,4,2 | Saves: 1,5,5,2,1,1,2,4,2 | GKicks: 3,9,4,7,9,6,10,7,13 | Corners: 9,3,2,3,4,10,2,2,2
Fulham: SOT: 5,0,4,4,3,3,3,4,2 | Shots: 12,9,12,11,14,5,11,13,7 | Fouls: 18,11,10,13,11,20,17,12,15 | Tackles: 19,20,11,16,19,24,29,10,15 | Cards: 2,0,1,4,4,1,2,1,3 | Saves: 5,4,3,1,2,3,4,3,3 | GKicks: 8,11,14,4,5,7,8,9,10 | Corners: 3,6,3,8,2,3,4,9,3
Leeds United: SOT: 5,4,4,8,4,3,1,1,3 | Shots: 13,19,16,19,6,10,10,3,21 | Fouls: 12,7,10,12,9,15,10,11,6 | Tackles: 21,13,19,27,20,18,18,18,15 | Cards: 3,1,2,2,1,2,1,2,0 | Saves: 2,1,1,3,5,3,2,0,1 | GKicks: 8,3,9,11,7,6,11,12,4 | Corners: 3,5,4,7,0,3,5,2,7
