Generated at (UTC): 2025-11-23T16:22:00
Rules: MIN_PRICE>=1.30, MIN_GAMES>=6, thresholds: O2.5>=70%, BTTS>=70%, TeamO1.5>=70%
H2H gate: must land in BOTH of the last 2 H2Hs.

=== Over 2.5 — value flags ===
 • Monaco vs Paris Saint Germain — Over 2.5 @ 1.44 | H 70.0% / A 90.0% | combo 80.0% | H2H last2: 2025-02-07 1–4, 2024-12-18 2–4

=== BTTS (Yes) — value flags ===
 • PSV vs FC Volendam — BTTS Yes @ 1.90 | H 80.0% / A 70.0% | combo 75.0% | H2H last2: 2024-02-11 5–1, 2023-09-30 3–1
 • Monaco vs Paris Saint Germain — BTTS Yes @ 1.53 | H 70.0% / A 80.0% | combo 75.0% | H2H last2: 2025-02-07 1–4, 2024-12-18 2–4
 • FC Twente vs AZ — BTTS Yes @ 1.50 | H 70.0% / A 90.0% | combo 80.0% | H2H last2: 2025-05-25 2–3, 2025-05-14 2–3
 • PEC Zwolle vs SC Heerenveen — BTTS Yes @ 1.50 | H 70.0% / A 80.0% | combo 75.0% | H2H last2: 2025-02-16 1–1, 2024-10-06 1–1

=== Team Over 1.5 — value flags (only favourites) ===
 • Hibernian — Team Over 1.5 (away) @ 2.25 | team 70.0% / opp conceded 40.0% | combo 55.0% | Motherwell vs Hibernian | H2H last2: 2025-01-11 1–3, 2024-11-30 0–3
 • Coventry City — Team Over 1.5 (away) @ 2.25 | team 90.0% / opp conceded 10.0% | combo 50.0% | Middlesbrough vs Coventry City | H2H last2: 2025-05-03 0–2, 2024-11-02 0–3
 • Bayer 04 Leverkusen — Team Over 1.5 (home) @ 1.90 | team 80.0% / opp conceded 20.0% | combo 50.0% | Bayer 04 Leverkusen vs Borussia Dortmund | H2H last2: 2025-05-11 2–4, 2025-01-10 3–2
 • Rennes — Team Over 1.5 (away) @ 1.83 | team 70.0% / opp conceded 50.0% | combo 60.0% | Metz vs Rennes | H2H last2: 2024-05-04 2–3, 2023-08-13 1–5
 • Hearts — Team Over 1.5 (away) @ 1.72 | team 80.0% / opp conceded 40.0% | combo 60.0% | Motherwell vs Hearts | H2H last2: 2025-08-23 3–3, 2025-05-10 0–3
 • Olympique Marseille — Team Over 1.5 (home) @ 1.72 | team 70.0% / opp conceded 40.0% | combo 55.0% | Olympique Marseille vs Toulouse | H2H last2: 2025-04-06 3–2, 2024-08-31 3–1
 • Fenerbahçe — Team Over 1.5 (away) @ 1.66 | team 70.0% / opp conceded 50.0% | combo 60.0% | Rizespor vs Fenerbahçe | H2H last2: 2025-02-02 2–3, 2024-08-25 0–5
 • Viking — Team Over 1.5 (away) @ 1.57 | team 90.0% / opp conceded 20.0% | combo 55.0% | Fredrikstad vs Viking | H2H last2: 2025-06-22 0–3, 2024-09-22 3–2
 • FC Midtjylland — Team Over 1.5 (away) @ 1.50 | team 70.0% / opp conceded 30.0% | combo 50.0% | Sønderjyske Fodbold vs FC Midtjylland | H2H last2: 2025-07-28 2–6, 2024-10-20 3–2
 • Real Madrid — Team Over 1.5 (away) @ 1.36 | team 80.0% / opp conceded 30.0% | combo 55.0% | Elche vs Real Madrid | H2H last2: 2023-02-15 0–4, 2022-10-19 0–3

(near-misses: O2.5=4, BTTS=4, TeamO1.5=9)  # passed form but below MIN_PRICE
