Generated at (UTC): 2025-10-30T17:26:03.906350
Filters: position in ['FWD', 'MID'] | 100% shots in last n>=3 | Over 0.5 >= 1.25 | Team ML <= 5.00
Market: Bet365 Player Shots Over 0.5 (market_id=268)

===== POSSIBLE SHOT CERTS (count: 20) =====
 • William Mikelbrencis [MID] — Hamburger SV | FC Köln vs Hamburger SV @ 2025-11-02 14:30:00 | Over 0.5 @ 2.250 | Team ML 3.200 | n=3 | series: 1,1,2
 • Marc Leonard [MID] — Birmingham City | Birmingham City vs Portsmouth @ 2025-11-01 15:00:00 | Over 0.5 @ 1.610 | Team ML 1.800 | n=3 | series: 2,3,1
 • Neto Borges [MID] — Bristol City | Stoke City vs Bristol City @ 2025-11-01 15:00:00 | Over 0.5 @ 1.610 | Team ML 2.900 | n=5 | series: 1,2,3,1,3
 • Álex Cardero [MID] — Mirandés | Cultural Leonesa vs Mirandés @ 2025-11-01 15:15:00 | Over 0.5 @ 1.570 | Team ML 4.200 | n=3 | series: 6,1,2
 • Moisés Caicedo [MID] — Chelsea | Tottenham Hotspur vs Chelsea @ 2025-11-01 17:30:00 | Over 0.5 @ 1.500 | Team ML 2.500 | n=8 | series: 2,2,1,1,1,1,1,1
 • Albert Sambi Lokonga [MID] — Hamburger SV | FC Köln vs Hamburger SV @ 2025-11-02 14:30:00 | Over 0.5 @ 1.440 | Team ML 3.200 | n=3 | series: 3,1,1
 • Dion Lopy [MID] — Almería | Almería vs SD Eibar @ 2025-11-01 20:00:00 | Over 0.5 @ 1.440 | Team ML 1.800 | n=5 | series: 2,1,1,1,3
 • Liam Gibbs [MID] — Norwich City | Norwich City vs Hull City @ 2025-11-01 12:30:00 | Over 0.5 @ 1.440 | Team ML 2.100 | n=3 | series: 1,2,1
 • Luca Vignali [MID] — Spezia | Monza vs Spezia @ 2025-11-02 16:15:00 | Over 0.5 @ 1.440 | Team ML 3.900 | n=3 | series: 1,2,1
 • Rodrigo Gomes [FWD] — Wolverhampton Wanderers | Fulham vs Wolverhampton Wanderers @ 2025-11-01 15:00:00 | Over 0.5 @ 1.440 | Team ML 4.500 | n=4 | series: 3,1,1,3
 • Vincent Marchetti [MID] — Paris | Monaco vs Paris @ 2025-11-01 18:00:00 | Over 0.5 @ 1.440 | Team ML 4.500 | n=4 | series: 1,3,3,2
 • Álex Sola [FWD] — Granada | Real Valladolid vs Granada @ 2025-11-03 19:30:00 | Over 0.5 @ 1.400 | Team ML 4.200 | n=8 | series: 2,1,2,1,1,2,2,1
 • Cameron Brannagan [MID] — Oxford United | Oxford United vs Millwall @ 2025-11-01 15:00:00 | Over 0.5 @ 1.330 | Team ML 2.700 | n=10 | series: 1,2,2,2,1,2,1,4,2,1
 • Jack Taylor [MID] — Ipswich Town | Queens Park Rangers vs Ipswich Town @ 2025-11-01 15:00:00 | Over 0.5 @ 1.330 | Team ML 2.050 | n=4 | series: 2,1,1,1
 • Simone Pontisso [MID] — Catanzaro | Catanzaro vs Venezia @ 2025-11-02 14:00:00 | Over 0.5 @ 1.330 | Team ML 3.100 | n=9 | series: 1,1,1,2,1,3,1,2,1
 • Adrián Bernabé [MID] — Parma | Parma vs Bologna @ 2025-11-02 17:00:00 | Over 0.5 @ 1.300 | Team ML 4.200 | n=8 | series: 3,2,1,3,2,3,2,1
 • Éderson [MID] — Atalanta | Udinese vs Atalanta @ 2025-11-01 14:00:00 | Over 0.5 @ 1.280 | Team ML 1.850 | n=4 | series: 2,2,1,1
 • Andre Brooks [FWD] — Sheffield United | Sheffield United vs Derby County @ 2025-11-01 15:00:00 | Over 0.5 @ 1.250 | Team ML 1.800 | n=4 | series: 1,1,1,1
 • Brenden Aaronson [FWD] — Leeds United | Brighton & Hove Albion vs Leeds United @ 2025-11-01 15:00:00 | Over 0.5 @ 1.250 | Team ML 4.000 | n=6 | series: 3,1,1,5,1,1
 • Muhamed Buljubasic [MID] — Rizespor | Rizespor vs Fatih Karagümrük @ 2025-11-03 17:00:00 | Over 0.5 @ 1.250 | Team ML 1.700 | n=4 | series: 1,3,1,1
