Generated at (UTC): 2025-12-21T04:56:30.089085  |  Min price >= 1.30  |  Team ML < 3.50
Buckets: 10/10, 9/10, 8/10 (last-10); 7/7 (last-7 when <10 games available)
Market: Bet365 Player Shots Over 0.5 (market_id=268)

===== 10/10 =====  (count: 2)
 • Bruno Fernandes [MID] — Manchester United | Manchester City vs West Ham United @ 2025-12-20 15:00:00 | Over 0.5 @ 1.720 | Team ML 1.200 | series: 3,5,6,1,5,1,2,4,2,3
 • Matteo Dagasso [MID] — Pescara | Pescara vs Reggiana @ 2025-12-20 18:30:00 | Over 0.5 @ 1.330 | Team ML 2.350 | series: 1,5,1,1,3,3,2,1,1,2

===== 9/10 =====  (count: 13)
 • Edmond Tapsoba [CB] — Bayer 04 Leverkusen | RB Leipzig vs Bayer 04 Leverkusen @ 2025-12-20 17:30:00 | Over 0.5 @ 1.830 | Team ML 3.250 | series: 2,2,2,1,0,1,1,1,1,1
 • Daniel Tonoli [CB] — Modena | Modena vs Venezia @ 2025-12-20 14:00:00 | Over 0.5 @ 1.570 | Team ML 2.750 | series: 3,1,0,2,2,1,3,2,1,2
 • Dion Lopy [MID] — Almería | Málaga vs Almería @ 2025-12-21 13:00:00 | Over 0.5 @ 1.500 | Team ML 2.400 | series: 2,2,2,1,1,0,2,1,1,1
 • Adam Wharton [MID] — Crystal Palace | Leeds United vs Crystal Palace @ 2025-12-20 20:00:00 | Over 0.5 @ 1.440 | Team ML 2.620 | series: 1,3,1,0,1,1,1,1,1,1
 • Jon Balda [LB] — Real Sociedad II | Real Sociedad II vs Ceuta @ 2025-12-21 15:15:00 | Over 0.5 @ 1.440 | Team ML 2.750 | series: 1,1,3,1,1,2,1,3,2,0
 • Weston McKennie [MID] — Juventus | Juventus vs Roma @ 2025-12-20 19:45:00 | Over 0.5 @ 1.440 | Team ML 2.000 | series: 1,2,0,1,2,3,1,2,1,2
 • Jayson Molumby [MID] — West Bromwich Albion | Hull City vs West Bromwich Albion @ 2025-12-20 15:00:00 | Over 0.5 @ 1.400 | Team ML 2.450 | series: 1,1,3,1,1,1,0,1,1,2
 • Kristjan Asllani [MID] — Torino | Sassuolo vs Torino @ 2025-12-21 14:00:00 | Over 0.5 @ 1.330 | Team ML 3.300 | series: 2,2,3,3,1,1,2,2,1,0
 • Kristjan Asllani [MID] — Torino | Torino vs Cagliari @ 2025-12-27 14:00:00 | Over 0.5 @ 1.330 | Team ML 1.900 | series: 2,2,3,3,1,1,2,2,1,0
