[EVENTS] england-premier-league: 11
[EVENTS] england-championship: 24
[EVENTS] germany-bundesliga: 9
[EVENTS] france-ligue-1: 9
[EVENTS] italy-serie-a: 10
[EVENTS] italy-serie-b: 10
[EVENTS] spain-laliga: 10
[EVENTS] spain-laliga-2: 11
[EVENTS] turkiye-super-lig: 11
[MAP] mapped=728/784
[ODDS] unique_events=92
[ODDS] payloads_received=83
Generated at (UTC): 2025-10-16T19:03:36.961095
Min price: 1.20 | Combo≥0.50 | Shots/SOT/Corners OVER ML≤3.50 | Shots/SOT/Corners UNDER ML>3.50 | Window=7 | Bookmakers=Bet365

===== TEAM LINES — OVER (Conservative) =====
 • Werder Bremen — SOT Over 4.5 @ 1.800 | 1. FC Heidenheim vs Werder Bremen | side=away | team= 83.3% oppA= 83.3% combo= 83.3% | ML=2.350 | Team Shots on Target Away
 • TSG Hoffenheim — SOT Over 3.5 @ 1.727 | FC St. Pauli vs TSG Hoffenheim | side=away | team=100.0% oppA= 83.3% combo= 83.3% | ML=2.800 | Team Shots on Target Away
 • VfB Stuttgart — Corners Over 5.5 @ 2.200 | VfL Wolfsburg vs VfB Stuttgart | side=away | team= 66.7% oppA= 66.7% combo= 66.7% | ML=2.500 | Team Corners Away
 • Eintracht Frankfurt — SOT Over 4.5 @ 2.100 | SC Freiburg vs Eintracht Frankfurt | side=away | team= 66.7% oppA= 66.7% combo= 66.7% | ML=2.700 | Team Shots on Target Away
 • Borussia Mönchengladbach — SOT Over 4.5 @ 2.100 | Union Berlin vs Borussia Monchengladbach | side=away | team= 66.7% oppA= 83.3% combo= 66.7% | ML=3.250 | Team Shots on Target Away
 • Bologna — Shots Over 12.5 @ 2.000 | Cagliari Calcio vs Bologna FC | side=away | team= 66.7% oppA= 66.7% combo= 66.7% | ML=2.100 | Team Shots Away
 • FSV Mainz 05 — Shots Over 11.5 @ 2.000 | FSV Mainz vs Bayer Leverkusen | side=home | team= 66.7% oppA= 66.7% combo= 66.7% | ML=2.900 | Team Shots Home
 • Hellas Verona — SOT Over 3.5 @ 1.833 | Pisa SC vs Hellas Verona | side=away | team= 66.7% oppA= 66.7% combo= 66.7% | ML=2.900 | Team Shots on Target Away
 • Cagliari — Shots Over 9.5 @ 1.800 | Cagliari Calcio vs Bologna FC | side=home | team= 66.7% oppA= 66.7% combo= 66.7% | ML=3.500 | Team Shots Home
 • Borussia Mönchengladbach — Shots Over 11.5 @ 1.800 | Union Berlin vs Borussia Monchengladbach | side=away | team= 66.7% oppA= 66.7% combo= 66.7% | ML=3.250 | Team Shots Away
 • Queens Park Rangers — Shots Over 11.5 @ 1.727 | Queens Park Rangers vs Millwall FC | side=home | team= 77.8% oppA= 66.7% combo= 66.7% | ML=2.620 | Team Shots Home
 • RB Leipzig — Shots Over 15.5 @ 1.727 | RB Leipzig vs Hamburger SV | side=home | team= 66.7% oppA= 66.7% combo= 66.7% | ML=1.400 | Team Shots Home
 • VfL Wolfsburg — Corners Over 4.5 @ 1.727 | VfL Wolfsburg vs VfB Stuttgart | side=home | team= 66.7% oppA= 66.7% combo= 66.7% | ML=2.620 | Team Corners Home
 • Rayo Vallecano — Corners Over 5.5 @ 2.200 | Levante UD vs Rayo Vallecano | side=away | team= 62.5% oppA= 75.0% combo= 62.5% | ML=2.450 | Team Corners Away
 • Villarreal — SOT Over 4.5 @ 1.909 | Villarreal CF vs Real Betis Seville | side=home | team= 62.5% oppA= 62.5% combo= 62.5% | ML=1.850 | Team Shots on Target Home
 • Samsunspor — Corners Over 4.5 @ 1.833 | Kayserispor vs Samsunspor | side=away | team= 87.5% oppA= 62.5% combo= 62.5% | ML=2.350 | Team Corners Away
 • Deportivo Alavés — SOT Over 3.5 @ 1.727 | Deportivo Alaves vs Valencia CF | side=home | team= 62.5% oppA= 75.0% combo= 62.5% | ML=2.250 | Team Shots on Target Home
 • Göztepe — Corners Over 3.5 @ 1.615 | Alanyaspor vs Goztepe Izmir | side=away | team= 75.0% oppA= 62.5% combo= 62.5% | ML=2.500 | Team Corners Away
 • Espanyol — SOT Over 3.5 @ 1.615 | Real Oviedo vs Espanyol Barcelona | side=away | team= 62.5% oppA= 87.5% combo= 62.5% | ML=2.500 | Team Shots on Target Away
 • Chelsea — Tackles Over 14.5 @ 2.000 | Nottingham Forest vs Chelsea FC | side=away | team= 85.7% oppA= 57.1% combo= 57.1% | ML=1.900 | Team Tackles Away
 • Tottenham Hotspur — Corners Over 5.5 @ 1.909 | Tottenham Hotspur vs Aston Villa | side=home | team= 57.1% oppA= 57.1% combo= 57.1% | ML=2.100 | Team Corners Home
 • Aston Villa — Shots Over 10.5 @ 1.800 | Tottenham Hotspur vs Aston Villa | side=away | team= 57.1% oppA= 57.1% combo= 57.1% | ML=3.200 | Team Shots Away
 • Catanzaro — Corners Over 4.5 @ 1.800 | US Catanzaro vs Calcio Padova | side=home | team= 57.1% oppA= 57.1% combo= 57.1% | ML=2.200 | Team Corners Home
 • Aston Villa — Corners Over 4.5 @ 1.727 | Tottenham Hotspur vs Aston Villa | side=away | team= 57.1% oppA= 57.1% combo= 57.1% | ML=3.200 | Team Corners Away
 • AFC Bournemouth — Corners Over 4.5 @ 1.666 | Crystal Palace vs AFC Bournemouth | side=away | team= 57.1% oppA= 57.1% combo= 57.1% | ML=3.250 | Team Corners Away
 • Wolverhampton Wanderers — Corners Over 3.5 @ 1.615 | Sunderland AFC vs Wolverhampton Wanderers | side=away | team= 57.1% oppA= 85.7% combo= 57.1% | ML=3.100 | Team Corners Away
 • Millwall — Shots Over 11.5 @ 2.000 | Queens Park Rangers vs Millwall FC | side=away | team= 55.6% oppA= 55.6% combo= 55.6% | ML=2.870 | Team Shots Away
 • Ipswich Town — Corners Over 4.5 @ 1.833 | Middlesbrough FC vs Ipswich Town | side=away | team= 62.5% oppA= 55.6% combo= 55.6% | ML=2.550 | Team Corners Away
 • FC Andorra — Corners Over 4.5 @ 1.666 | FC Andorra vs Granada CF | side=home | team= 55.6% oppA= 55.6% combo= 55.6% | ML=2.150 | Team Corners Home
 • St. Pauli — SOT Over 4.5 @ 2.200 | FC St. Pauli vs TSG Hoffenheim | side=home | team= 66.7% oppA= 50.0% combo= 50.0% | ML=2.500 | Team Shots on Target Home
 • Rayo Vallecano — SOT Over 4.5 @ 2.100 | Levante UD vs Rayo Vallecano | side=away | team= 62.5% oppA= 50.0% combo= 50.0% | ML=2.450 | Team Shots on Target Away
 • Udinese — Corners Over 4.5 @ 2.100 | US Cremonese vs Udinese Calcio | side=away | team= 66.7% oppA= 50.0% combo= 50.0% | ML=2.450 | Team Corners Away
 • Atalanta — Corners Over 5.5 @ 2.000 | Atalanta BC vs Lazio Rome | side=home | team= 50.0% oppA= 50.0% combo= 50.0% | ML=1.700 | Team Corners Home
 • Real Sociedad — Shots Over 11.5 @ 2.000 | RC Celta de Vigo vs Real Sociedad San Sebastian | side=away | team= 62.5% oppA= 50.0% combo= 50.0% | ML=3.500 | Team Shots Away
 • Milan — SOT Over 5.5 @ 1.909 | AC Milan vs ACF Fiorentina | side=home | team= 50.0% oppA= 50.0% combo= 50.0% | ML=1.530 | Team Shots on Target Home
 • VfL Wolfsburg — Shots Over 12.5 @ 1.909 | VfL Wolfsburg vs VfB Stuttgart | side=home | team= 66.7% oppA= 50.0% combo= 50.0% | ML=2.620 | Team Shots Home
 • Deportivo Alavés — Corners Over 5.5 @ 1.833 | Deportivo Alaves vs Valencia CF | side=home | team= 62.5% oppA= 50.0% combo= 50.0% | ML=2.250 | Team Corners Home
 • Rayo Vallecano — Shots Over 13.5 @ 1.833 | Levante UD vs Rayo Vallecano | side=away | team= 50.0% oppA= 62.5% combo= 50.0% | ML=2.450 | Team Shots Away
 • Hellas Verona — Shots Over 12.5 @ 1.833 | Pisa SC vs Hellas Verona | side=away | team= 50.0% oppA= 83.3% combo= 50.0% | ML=2.900 | Team Shots Away
 • Espanyol — Shots Over 13.5 @ 1.833 | Real Oviedo vs Espanyol Barcelona | side=away | team= 50.0% oppA= 87.5% combo= 50.0% | ML=2.500 | Team Shots Away
 • Eintracht Frankfurt — Shots Over 12.5 @ 1.833 | SC Freiburg vs Eintracht Frankfurt | side=away | team= 66.7% oppA= 50.0% combo= 50.0% | ML=2.700 | Team Shots Away
 • Atalanta — SOT Over 4.5 @ 1.800 | Atalanta BC vs Lazio Rome | side=home | team= 50.0% oppA= 66.7% combo= 50.0% | ML=1.700 | Team Shots on Target Home
 • Athletic Club — Shots Over 11.5 @ 1.800 | Elche CF vs Athletic Bilbao | side=away | team= 75.0% oppA= 50.0% combo= 50.0% | ML=2.150 | Team Shots Away
 • Real Sociedad — SOT Over 3.5 @ 1.800 | RC Celta de Vigo vs Real Sociedad San Sebastian | side=away | team= 62.5% oppA= 50.0% combo= 50.0% | ML=3.500 | Team Shots on Target Away
 • Atalanta — Shots Over 13.5 @ 1.727 | Atalanta BC vs Lazio Rome | side=home | team= 50.0% oppA= 50.0% combo= 50.0% | ML=1.700 | Team Shots Home
 • Napoli — Shots Over 13.5 @ 1.727 | Torino FC vs SSC Napoli | side=away | team= 66.7% oppA= 50.0% combo= 50.0% | ML=1.750 | Team Shots Away
 • Udinese — Shots Over 12.5 @ 1.727 | US Cremonese vs Udinese Calcio | side=away | team= 50.0% oppA= 83.3% combo= 50.0% | ML=2.450 | Team Shots Away
