[EVENTS] england-premier-league: 10 (next 7d)
[EVENTS] england-championship: 24 (next 7d)
[EVENTS] germany-bundesliga: 9 (next 7d)
[EVENTS] france-ligue-1: 9 (next 7d)
[EVENTS] italy-serie-a: 10 (next 7d)
[EVENTS] italy-serie-b: 10 (next 7d)
[EVENTS] spain-laliga: 10 (next 7d)
[EVENTS] spain-laliga-2: 11 (next 7d)
[EVENTS] turkiye-super-lig: 11 (next 7d)
[MAP] mapped_contexts=64
[ODDS] unique_events=8
[ODDS] batch 1 — 8 ids
[ODDS] payloads_received=8
Generated at (UTC): 2025-10-21T15:40:30.639483
Min decimal price: 1.20 | Window days: 7 | Bookmakers: Bet365

===== TEAM LINES — OVER (ranked by combo % then price) =====
 • Stoke City — Corners Over 4.5 @ 1.909 | Millwall FC vs Stoke City | side=away | team 9/10 ( 90.0%), oppA 6/10 ( 60.0%) | combo= 60.0% | Team Corners Away
 • Birmingham City — Corners Over 4.5 @ 1.727 | Preston North End vs Birmingham City | side=away | team 6/10 ( 60.0%), oppA 6/10 ( 60.0%) | combo= 60.0% | Team Corners Away
 • Southampton — Corners Over 4.5 @ 1.800 | Bristol City vs Southampton FC | side=away | team 10/10 (100.0%), oppA 5/10 ( 50.0%) | combo= 50.0% | Team Corners Away
 • Leicester City — Corners Over 4.5 @ 1.666 | Hull City vs Leicester City | side=away | team 5/10 ( 50.0%), oppA 7/10 ( 70.0%) | combo= 50.0% | Team Corners Away
 • Sheffield United — Corners Over 4.5 @ 1.800 | Blackburn Rovers vs Sheffield United | side=away | team 9/10 ( 90.0%), oppA 4/9 ( 44.4%) | combo= 44.4% | Team Corners Away
 • Norwich City — Corners Over 4.5 @ 2.100 | Derby County vs Norwich City | side=away | team 4/10 ( 40.0%), oppA 6/10 ( 60.0%) | combo= 40.0% | Team Corners Away
 • Bristol City — SOT Over 3.5 @ 1.833 | Bristol City vs Southampton FC | side=home | team 5/10 ( 50.0%), oppA 4/10 ( 40.0%) | combo= 40.0% | Team Shots on Target Home
 • Southampton — Shots Over 12.5 @ 1.833 | Bristol City vs Southampton FC | side=away | team 6/10 ( 60.0%), oppA 4/10 ( 40.0%) | combo= 40.0% | Team Shots Away
 • Coventry City — Corners Over 5.5 @ 1.800 | Portsmouth FC vs Coventry City | side=away | team 4/10 ( 40.0%), oppA 4/10 ( 40.0%) | combo= 40.0% | Team Corners Away
 • Southampton — SOT Over 3.5 @ 1.727 | Bristol City vs Southampton FC | side=away | team 6/10 ( 60.0%), oppA 4/10 ( 40.0%) | combo= 40.0% | Team Shots on Target Away
 • Portsmouth — Corners Over 4.5 @ 1.666 | Portsmouth FC vs Coventry City | side=home | team 4/10 ( 40.0%), oppA 4/10 ( 40.0%) | combo= 40.0% | Team Corners Home
 • Hull City — Corners Over 4.5 @ 1.800 | Hull City vs Leicester City | side=home | team 5/10 ( 50.0%), oppA 3/10 ( 30.0%) | combo= 30.0% | Team Corners Home
 • Charlton Athletic — Corners Over 3.5 @ 1.727 | Ipswich Town vs Charlton Athletic | side=away | team 3/10 ( 30.0%), oppA 5/9 ( 55.6%) | combo= 30.0% | Team Corners Away
 • Blackburn Rovers — Corners Over 4.5 @ 1.666 | Blackburn Rovers vs Sheffield United | side=home | team 5/9 ( 55.6%), oppA 3/10 ( 30.0%) | combo= 30.0% | Team Corners Home
 • Derby County — Corners Over 5.5 @ 2.100 | Derby County vs Norwich City | side=home | team 2/10 ( 20.0%), oppA 5/10 ( 50.0%) | combo= 20.0% | Team Corners Home
 • Millwall — Corners Over 5.5 @ 2.000 | Millwall FC vs Stoke City | side=home | team 2/10 ( 20.0%), oppA 3/10 ( 30.0%) | combo= 20.0% | Team Corners Home
 • Preston North End — Corners Over 4.5 @ 2.100 | Preston North End vs Birmingham City | side=home | team 1/10 ( 10.0%), oppA 3/10 ( 30.0%) | combo= 10.0% | Team Corners Home
 • Bristol City — Shots Over 12.5 @ 1.909 | Bristol City vs Southampton FC | side=home | team 5/10 ( 50.0%), oppA 1/10 ( 10.0%) | combo= 10.0% | Team Shots Home
 • Ipswich Town — Corners Over 5.5 @ 1.800 | Ipswich Town vs Charlton Athletic | side=home | team 5/9 ( 55.6%), oppA 1/10 ( 10.0%) | combo= 10.0% | Team Corners Home
 • Bristol City — Corners Over 4.5 @ 1.666 | Bristol City vs Southampton FC | side=home | team 5/10 ( 50.0%), oppA 1/10 ( 10.0%) | combo= 10.0% | Team Corners Home

===== TEAM LINES — UNDER (ranked by combo % then price) =====
 • Millwall — Corners Under 5.5 @ 1.727 | Millwall FC vs Stoke City | side=home | team 8/10 ( 80.0%), oppA 7/10 ( 70.0%) | combo= 70.0% | Team Corners Home
 • Preston North End — Corners Under 4.5 @ 1.666 | Preston North End vs Birmingham City | side=home | team 9/10 ( 90.0%), oppA 7/10 ( 70.0%) | combo= 70.0% | Team Corners Home
 • Portsmouth — Corners Under 4.5 @ 2.100 | Portsmouth FC vs Coventry City | side=home | team 6/10 ( 60.0%), oppA 6/10 ( 60.0%) | combo= 60.0% | Team Corners Home
 • Coventry City — Corners Under 5.5 @ 1.909 | Portsmouth FC vs Coventry City | side=away | team 6/10 ( 60.0%), oppA 6/10 ( 60.0%) | combo= 60.0% | Team Corners Away
 • Bristol City — Corners Under 4.5 @ 2.100 | Bristol City vs Southampton FC | side=home | team 5/10 ( 50.0%), oppA 9/10 ( 90.0%) | combo= 50.0% | Team Corners Home
 • Hull City — Corners Under 4.5 @ 1.909 | Hull City vs Leicester City | side=home | team 5/10 ( 50.0%), oppA 7/10 ( 70.0%) | combo= 50.0% | Team Corners Home
 • Bristol City — SOT Under 3.5 @ 1.833 | Bristol City vs Southampton FC | side=home | team 5/10 ( 50.0%), oppA 6/10 ( 60.0%) | combo= 50.0% | Team Shots on Target Home
 • Bristol City — Shots Under 12.5 @ 1.800 | Bristol City vs Southampton FC | side=home | team 5/10 ( 50.0%), oppA 9/10 ( 90.0%) | combo= 50.0% | Team Shots Home
 • Derby County — Corners Under 5.5 @ 1.666 | Derby County vs Norwich City | side=home | team 8/10 ( 80.0%), oppA 5/10 ( 50.0%) | combo= 50.0% | Team Corners Home
 • Blackburn Rovers — Corners Under 4.5 @ 2.100 | Blackburn Rovers vs Sheffield United | side=home | team 4/9 ( 44.4%), oppA 7/10 ( 70.0%) | combo= 44.4% | Team Corners Home
 • Charlton Athletic — Corners Under 3.5 @ 2.000 | Ipswich Town vs Charlton Athletic | side=away | team 7/10 ( 70.0%), oppA 4/9 ( 44.4%) | combo= 44.4% | Team Corners Away
 • Ipswich Town — Corners Under 5.5 @ 1.909 | Ipswich Town vs Charlton Athletic | side=home | team 4/9 ( 44.4%), oppA 9/10 ( 90.0%) | combo= 44.4% | Team Corners Home
 • Southampton — SOT Under 3.5 @ 2.000 | Bristol City vs Southampton FC | side=away | team 4/10 ( 40.0%), oppA 6/10 ( 60.0%) | combo= 40.0% | Team Shots on Target Away
 • Birmingham City — Corners Under 4.5 @ 2.000 | Preston North End vs Birmingham City | side=away | team 4/10 ( 40.0%), oppA 4/10 ( 40.0%) | combo= 40.0% | Team Corners Away
 • Southampton — Shots Under 12.5 @ 1.833 | Bristol City vs Southampton FC | side=away | team 4/10 ( 40.0%), oppA 6/10 ( 60.0%) | combo= 40.0% | Team Shots Away
 • Norwich City — Corners Under 4.5 @ 1.666 | Derby County vs Norwich City | side=away | team 6/10 ( 60.0%), oppA 4/10 ( 40.0%) | combo= 40.0% | Team Corners Away
 • Leicester City — Corners Under 4.5 @ 2.100 | Hull City vs Leicester City | side=away | team 5/10 ( 50.0%), oppA 3/10 ( 30.0%) | combo= 30.0% | Team Corners Away
 • Sheffield United — Corners Under 4.5 @ 1.909 | Blackburn Rovers vs Sheffield United | side=away | team 1/10 ( 10.0%), oppA 5/9 ( 55.6%) | combo= 10.0% | Team Corners Away
 • Stoke City — Corners Under 4.5 @ 1.800 | Millwall FC vs Stoke City | side=away | team 1/10 ( 10.0%), oppA 4/10 ( 40.0%) | combo= 10.0% | Team Corners Away
 • Southampton — Corners Under 4.5 @ 1.909 | Bristol City vs Southampton FC | side=away | team 0/10 (  0.0%), oppA 5/10 ( 50.0%) | combo=  0.0% | Team Corners Away


Run timestamp (UTC): 2025-10-21 15:40:30
Params: MIN_DEC_PRICE=1.20 WINDOW_DAYS=7 BOOKMAKERS=Bet365
