Generated at (UTC): 2025-11-01T12:52:02.592292
Window=7 days | Min price=1.20 | ML filter (Shots/SOT/Corners): ≤ 3.50

===== TEAM LINES — OVER (ranked by combo % then price) =====
 • Espanyol — SOT Over 2.5 @ 1.570 | Deportivo Alavés vs Espanyol | side=away | team 9/10 ( 90.0%), oppA 7/8 ( 87.5%) | combo= 88.8% | ML=3.300 | Team Shots on Target Away
 • VfB Stuttgart — Shots Over 12.5 @ 2.000 | RB Leipzig vs VfB Stuttgart | side=away | team 7/8 ( 87.5%), oppA 6/7 ( 85.7%) | combo= 86.6% | ML=3.400 | Team Shots Away
 • SC Freiburg — Shots Over 9.5 @ 1.720 | FC Union Berlin vs SC Freiburg | side=away | team 7/8 ( 87.5%), oppA 5/7 ( 71.4%) | combo= 79.5% | ML=2.700 | Team Shots Away
 • Manchester City — Tackles Over 13.5 @ 1.800 | Manchester City vs AFC Bournemouth | side=home | team 6/9 ( 66.7%), oppA 7/8 ( 87.5%) | combo= 77.1% | ML=1.500 | Team Tackles Home
 • Chelsea — Corners Over 4.5 @ 1.660 | Tottenham Hotspur vs Chelsea | side=away | team 8/9 ( 88.9%), oppA 5/8 ( 62.5%) | combo= 75.7% | ML=2.500 | Team Corners Away
 • Genoa — Shots Over 10.5 @ 1.720 | Sassuolo vs Genoa | side=away | team 4/8 ( 50.0%), oppA 7/7 (100.0%) | combo= 75.0% | ML=3.200 | Team Shots Away
 • VfL Wolfsburg — Corners Over 4.5 @ 1.660 | VfL Wolfsburg vs TSG Hoffenheim | side=home | team 4/8 ( 50.0%), oppA 7/7 (100.0%) | combo= 75.0% | ML=2.750 | Team Corners Home
 • VfB Stuttgart — Corners Over 4.5 @ 1.800 | RB Leipzig vs VfB Stuttgart | side=away | team 6/8 ( 75.0%), oppA 5/7 ( 71.4%) | combo= 73.2% | ML=3.400 | Team Corners Away
 • Gaziantep F.K. — Corners Over 3.5 @ 1.900 | Alanyaspor vs Gaziantep F.K. | side=away | team 7/10 ( 70.0%), oppA 6/9 ( 66.7%) | combo= 68.3% | ML=3.400 | Team Corners Away
 • Athletic Club — Shots Over 10.5 @ 1.800 | Real Sociedad vs Athletic Club | side=away | team 8/10 ( 80.0%), oppA 5/9 ( 55.6%) | combo= 67.8% | ML=2.900 | Team Shots Away
 • Real Sociedad — Corners Over 4.5 @ 1.720 | Real Sociedad vs Athletic Club | side=home | team 8/10 ( 80.0%), oppA 5/9 ( 55.6%) | combo= 67.8% | ML=2.600 | Team Corners Home
 • Hamburger SV — Shots Over 12.5 @ 2.000 | FC Köln vs Hamburger SV | side=away | team 5/8 ( 62.5%), oppA 5/7 ( 71.4%) | combo= 67.0% | ML=3.200 | Team Shots Away
