Generated at (UTC): 2025-12-09T08:49:49.048583
Criteria: 5/5 OR 7/10 | Over 0.5 ≥ 1.72 | Exclude big underdogs (team ML > 3.50)
Market: Bet365 Player Shots Over 0.5 (market_id=268)

===== 5/5 (count: 3) =====
 • Marc Bola [LB] — Watford | Wrexham vs Watford @ 2025-12-13 15:00:00 | O0.5 @ 2.00 | ML 3.10 vs 2.20 | series: 1,3,1,1,3,0,1,1,1,0
 • Leandro Cabrera [CB] — Espanyol | Getafe vs Espanyol @ 2025-12-13 20:00:00 | O0.5 @ 1.83 | ML 3.20 vs 2.45 | series: 1,1,1,2,1,0,0,0,4,1
 • Giangiacomo Magnani [CB] — Reggiana | Mantova vs Reggiana @ 2025-12-08 14:00:00 | O0.5 @ 1.72 | ML 3.10 vs 2.35 | series: 1,2,1,2,2,1

===== 7/10 (count: 7) =====
 • Enrique Clemente [LB] — Las Palmas | Ceuta vs Las Palmas @ 2025-12-14 20:00:00 | O0.5 @ 2.00 | ML 2.55 vs 2.87 | series: 0,0,1,1,0,1,1,1,1,1
 • Liam Kitching [CB] — Coventry City | Preston North End vs Coventry City @ 2025-12-09 19:45:00 | O0.5 @ 1.90 | ML 1.95 vs 3.60 | series: 1,2,3,3,0,2,3,0,0,1
 • Sean McLoughlin [CB] — Blackburn Rovers | Portsmouth vs Blackburn Rovers @ 2025-12-13 15:00:00 | O0.5 @ 1.83 | ML 2.62 vs 2.60 | series: 2,1,0,1,1,0,1,3,1,3
 • Armando Izzo [CB] — Monza | Monza vs Südtirol @ 2025-12-08 14:00:00 | O0.5 @ 1.72 | ML 1.53 vs 7.00 | series: 1,0,1,2,1,2,1,2,0,0
 • Japhet Tanganga [CB] — Sheffield United | West Bromwich Albion vs Sheffield United @ 2025-12-12 20:00:00 | O0.5 @ 1.72 | ML 2.90 vs 2.37 | series: 2,1,1,0,1,0,2,0,1,2
 • Samson Baidoo [CB] — Lens | Lens vs Nice @ 2025-12-14 16:15:00 | O0.5 @ 1.72 | ML 1.50 vs 5.75 | series: 3,0,0,1,1,1,1,4,1,0
 • Álex Lizancos [RB] — Burgos | Burgos vs Albacete @ 2025-12-08 15:15:00 | O0.5 @ 1.72 | ML 1.95 vs 4.50 | series: 1,2,3,1,0,0,2,2,1,0

